iter	Passed	Remaining
861	2022	323
862	2023	321
863	2025	318
864	2026	316
865	2028	313
866	2031	311
867	2032	309
868	2034	306
869	2036	304
870	2038	301
871	2039	299
872	2041	297
873	2043	294
874	2045	292
875	2047	289
876	2048	287
877	2050	284
878	2052	282
879	2054	280
880	2056	277
881	2058	275
882	2060	272
883	2062	270
884	2064	268
885	2066	265
886	2067	263
887	2070	261
888	2071	258
889	2073	256
890	2074	253
891	2076	251
892	2078	249
893	2080	246
894	2082	244
895	2084	241
896	2086	239
897	2088	237
898	2089	234
899	2091	232
900	2093	230
901	2096	227
902	2098	225
903	2100	223
904	2101	220
905	2103	218
906	2105	215
907	2106	213
908	2108	211
909	2110	208
910	2112	206
911	2114	203
912	2116	201
913	2117	199
914	2119	196
915	2121	194
916	2122	192
917	2125	189
918	2126	187
919	2128	185
920	2130	182
921	2132	180
922	2133	178
923	2135	175
924	2137	173
925	2139	170
926	2141	168
927	2143	166
928	2144	163
929	2146	161
930	2148	159
931	2150	156
932	2152	154
933	2153	152
934	2156	149
935	2157	147
936	2159	145
937	2160	142
938	2163	140
939	2165	138
940	2167	135
941	2168	133
942	2170	131
943	2172	128
944	2174	126
945	2175	124
946	2177	121
947	2179	119
948	2181	117
949	2183	114
950	2184	112
951	2187	110
952	2189	107
953	2191	105
954	2192	103
955	2194	101
956	2196	98
957	2198	96
958	2200	94
959	2202	91
960	2204	89
961	2205	87
962	2207	84
963	2209	82
964	2211	80
965	2213	77
966	2214	75
967	2216	73
968	2218	70
969	2220	68
970	2222	66
971	2223	64
972	2225	61
973	2227	59
974	2229	57
975	2231	54
976	2233	52
977	2235	50
978	2237	47
979	2238	45
980	2240	43
981	2243	41
982	2244	38
983	2246	36
984	2248	34
985	2250	31
986	2252	29
987	2254	27
988	2255	25
989	2257	22
990	2259	20
991	2261	18
992	2263	15
993	2265	13
994	2267	11
995	2268	9
996	2270	6
997	2271	4
998	2274	2
999	2275	0
